state,forecast_date,target_end_date,trained_q50,actual,normalized_interval_width,normalized_disagreement,num_modes,branch_1_center,branch_1_weight,branch_2_center,branch_2_weight,branch_3_center,branch_3_weight,forecast_error,closest_actual_branch
Pennsylvania,2022-07-25,2022-07-30,20303.0,22277.0,1.0128059892626706,0.27605848422737156,3,15903.796490798135,0.31555840933534857,20527.361497596772,0.4049622002090316,25322.16965279536,0.27947939045561976,0.08861157247385196,2.0
Pennsylvania,2022-08-01,2022-08-06,16453.0,24748.0,1.2654834984501306,0.33336069706588417,3,10670.572440944881,0.34372096282865494,15368.685826771653,0.32995821143160226,22546.35905511811,0.3263208257397429,0.3351786002909326,3.0
Pennsylvania,2022-08-08,2022-08-13,23954.0,20626.0,0.9353343909159222,0.38592579385693637,3,1556.0,0.19719145123983434,24666.10643247462,0.5621084116203209,31647.284417284664,0.24070013713984478,0.13893295483009102,2.0
Pennsylvania,2022-08-15,2022-08-20,17961.0,24281.0,0.931017203941874,0.40621620469248704,3,432.0,0.11991746881082682,8955.547960629921,0.2053898311828544,20320.27857480315,0.6746927000063189,0.26028582018862484,3.0
Pennsylvania,2022-08-22,2022-08-27,22478.0,17390.0,0.8305009342468191,0.2719888494788948,3,14597.536798174342,0.28912425387070184,22796.76649111068,0.6061721686673377,33480.611242512576,0.10470357746196048,0.22635465788771242,1.0
Pennsylvania,2022-08-29,2022-09-03,18308.0,18264.0,0.7933690190080839,0.20139492318716237,1,16520.623685445196,1.0,,,,,0.002403320952589032,
Pennsylvania,2022-09-05,2022-09-10,14936.0,16909.0,1.0370915907873595,0.1006231470501812,1,15557.73837299038,1.0,,,,,0.11668342302915607,
Pennsylvania,2022-09-12,2022-09-17,16621.0,18183.0,0.9443475121833824,0.16641245385620052,1,15307.283864214793,1.0,,,,,0.08590441621294616,
Pennsylvania,2022-09-19,2022-09-24,17765.0,18304.0,0.9133689839572192,0.20707215459844222,1,16305.552065550293,1.0,,,,,0.029447115384615384,
Pennsylvania,2022-09-26,2022-10-01,18793.0,15205.0,1.0233065503112861,0.3055165251924827,1,17128.73320486014,1.0,,,,,0.19092215186505615,
Pennsylvania,2022-10-03,2022-10-08,15909.0,12431.0,1.1160978062731788,0.20690984074392701,1,17141.094523032025,1.0,,,,,0.21861839210509773,
Pennsylvania,2022-10-10,2022-10-15,12002.0,13256.0,1.04807532077987,0.3026829376929567,1,12938.40167182448,1.0,,,,,0.09459867229933615,
Pennsylvania,2022-10-17,2022-10-22,12526.0,11399.0,0.9690244291872905,0.05903549264605972,1,12530.206566538005,1.0,,,,,0.08997285645856619,
Pennsylvania,2022-10-24,2022-10-29,10710.0,13227.0,0.7901960784313725,0.0738447700251992,1,10689.24321442066,1.0,,,,,0.19029258335223406,
